clu;grupo_articulo;cantidad;x
0;CAMISETA;144063;1
0;VESTIDO;63136;2
0;PANTALON LARGO;60199;3
0;CALZADO;42059;4
0;BUZO O CHAQUETA;37625;5
0;DENIM;30510;6
0;PIJAMA;28179;7
0;CAMISA;28144;8
0;PANTALON CORTO;18768;9
0;CONJUNTO;15187;10
1;CAMISETA;49606;1
1;CALZADO;44620;2
1;DENIM;27612;3
1;BUZO O CHAQUETA;27268;4
1;VESTIDO;26846;5
1;CAMISA;25664;6
1;PANTALON LARGO;18534;7
1;PANTALON CORTO;14302;8
1;OVERALL;12860;9
1;CONJUNTO;11852;10
2;CALZADO;24241;1
2;BUZO O CHAQUETA;12300;2
2;DENIM;7653;3
2;VESTIDO;4785;4
2;OVERALL;4235;5
2;CAMISA;3696;6
2;CAMISETA;3169;7
2;ACCESORIO;2866;8
2;PANTALON LARGO;1407;9
2;CONJUNTO;1388;10
3;CAMISETA;110041;1
3;CALZADO;48887;2
3;VESTIDO;44828;3
3;PANTALON LARGO;40927;4
3;BUZO O CHAQUETA;27017;5
3;DENIM;26253;6
3;CAMISA;25100;7
3;PIJAMA;21203;8
3;PANTALON CORTO;20918;9
3;CONJUNTO;12819;10
